# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-115.728 28.2989 42.1949 12.0936 47.0366 6.14613
-112.382 29.3801 67.358 12.3314 60.7374 6.14506
-122.064 23.8708 44.1978 1.52404 46.6645 6.13166
-109.943 18.5952 58.066 10.3584 60.9796 6.11369
-94.8208 31.8799 63.9178 9.55475 48.6197 6.16085
-139.011 26.9893 38.7164 13.0161 50.2495 6.20686
-119.793 18.0861 50.8545 4.07454 50.5713 6.04514
-114.965 35.3578 58.2572 9.90576 53.188 6.19292
-64.2153 26.6362 90.2015 10.2968 56.4159 6.25304
-84.8486 30.8119 73.1655 11.8264 60.6736 6.08001
-129.716 10.0205 29.7979 5.08256 47.708 6.11649
-83.2474 20.9013 59.4178 7.12544 49.7475 6.08252
-133.352 21.4156 37.0445 4.81612 47.0442 6.21324
-169.935 -6.38495 20.2877 2.70045 45.1695 6.13619
-152.598 2.71275 31.0044 11.0921 58.9356 6.22143
-131.373 5.60797 32.1395 3.58195 53.1948 6.19272
-150.098 21.1604 55.309 18.9954 69.3804 5.98895
-119.763 6.94321 17.785 3.97071 36.1148 6.04284
-112.991 33.2256 53.7797 11.2384 47.0368 6.13531
-126.806 27.5545 66.2191 16.4193 69.1161 6.0274
-120.072 26.0235 46.2553 0.316501 45.099 6.18621
-129.679 22.1552 33.4153 11.6922 56.877 6.28024
-134.271 23.6297 26.3573 14.4492 51.7193 6.25837
-114.748 38.1737 61.1662 11.0675 53.0126 6.14511
-121.178 27.0647 40.5393 10.9891 48.8572 6.12436
-98.2853 18.5579 44.5411 6.9396 48.7196 6.15838
-150.303 -9.04187 9.7518 3.03788 46.75 6.10353
-134.829 20.3424 51.1808 4.67813 52.5341 6.05194
-156.387 -4.54694 23.9524 3.21869 49.024 6.04292
-121.421 14.2117 44.576 6.62626 64.0118 6.11278
-154.433 11.9337 33.7708 10.4795 50.1679 6.15182
-150.148 2.14486 23.8625 3.81519 44.1042 6.17355
-73.1988 32.8437 65.2391 13.7005 49.8113 6.06347
-98.6585 19.2505 57.4422 4.14294 52.1803 6.10303
-151.853 29.5693 51.8057 11.8227 57.9613 6.16518
-121.417 22.0899 41.9542 3.95388 45.0187 6.21771
-120.289 31.096 57.3262 8.12974 53.5402 6.14038
-107.467 29.4252 59.6656 14.0185 57.6969 6.18228
-146.951 13.7899 32.4116 11.4053 54.2795 6.16265
-113.91 21.3086 54.6395 -0.555843 51.2366 6.20324
-105.07 30.5216 70.2239 13.8654 70.6984 5.93901
-132.067 22.3115 47.923 13.6392 60.8661 6.0959
107.758 -37.7511 55.6533 -10.872 49.6034 6.15212
108.953 -25.7707 56.4293 -7.13968 53.06 6.22116
133.554 -28.6065 48.1596 -10.4205 55.9147 6.17193
134.307 -17.5578 54.333 -6.67587 55.1979 6.18535
110.279 -19.0071 43.5066 3.69259 41.5104 5.94003
99.2564 -43.5829 80.2754 -17.6046 62.1648 5.99346
159.596 5.27265 17.6325 -2.14813 42.6973 6.14024
148.333 -23.1313 51.8907 -13.7991 58.2867 6.11471
82.3781 -26.7132 81.4244 -12.1902 58.8603 5.98644
94.492 -28.7727 56.2169 -4.52284 47.8612 6.15489
153.948 -11.0271 27.5437 -5.8506 47.7617 6.23211
126.504 -17.7056 28.6774 -9.99694 48.7386 6.10129
147.992 -8.33219 37.1971 -6.91237 50.2785 6.21069
149.553 -7.03187 27.7841 -8.34215 57.3534 6.06305
100.704 -23.73 50.0641 -10.344 60.7759 6.20023
84.1535 -21.2325 64.2939 -7.77769 59.2761 6.06249
145.327 -7.76123 45.8189 -6.50139 55.6862 6.09842
99.5344 -16.4714 50.6313 -1.19216 52.899 6.11447
120.94 -41.8741 63.5452 -6.80555 57.6813 6.16288
117.805 -22.2705 55.8918 -12.1458 60.9298 6.07181
83.1991 -27.2693 61.4113 -11.0872 54.0373 6.23167
149.94 -2.80648 34.8636 -5.79199 56.2556 6.08563
-70.1049 25.9128 77.4062 10.3358 46.3045 6.20918
-154.078 5.59467 34.0622 11.7388 59.8156 6.05649
-124.92 15.1528 42.0141 5.88608 50.6558 6.08459
-106.468 32.6735 62.619 5.21117 47.0915 6.17596
-151.182 4.27411 18.7667 5.55926 46.0724 6.12231
-90.7821 24.6823 55.6119 6.4813 48.876 6.07955
-107.752 12.4134 21.4706 1.33336 33.5716 5.98116
-141.005 6.47426 20.2464 5.9019 46.1416 6.16304
-134.244 -3.906 12.5524 -0.363914 42.138 5.98959
-133.163 0.912965 33.0047 -3.88084 41.8387 6.1318
-118.679 17.9242 43.0862 10.6304 51.4196 6.05455
-132.405 15.4052 47.6073 2.00111 48.4007 6.16143
-138.533 10.5973 30.9215 2.38881 47.6047 6.13405
-147.921 6.11037 41.0421 6.19177 54.4771 6.29231
-110.948 15.4715 46.102 0.759857 43.5642 6.24628
-125.019 18.9793 46.6905 2.41781 48.2563 6.15802
-149.212 2.51094 31.948 -1.02653 48.5501 6.15971
-134.136 10.6161 25.8049 4.02353 46.8048 6.08203
-144.026 7.3262 14.8795 7.92904 43.9959 6.19855
-143.793 7.90873 31.6633 8.01086 51.743 6.05
-128.26 38.3121 49.6773 13.3677 54.056 6.11799
-146.208 8.59019 29.9387 -1.63092 47.0934 6.08854
-113.71 23.9724 52.8664 5.2498 50.6375 6.05849
-146.573 -3.97655 25.3938 0.164027 47.4444 6.06622
-131.472 21.5493 42.5668 0.585731 46.4679 6.11296
-101.637 17.3943 54.1815 2.23093 49.0603 6.15352
