# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-67.63 -15.3548 -26.2531 -7.77328 -14.0725 4.76795
-74.3939 -13.0472 -24.108 -6.95804 -19.764 4.8062
-79.6383 -22.7799 -31.6044 -10.3834 -15.5096 4.86182
-79.9419 -14.7132 -20.0608 -7.48923 -13.8372 4.83317
-66.9702 -33.3287 -36.9696 -18.4853 -19.9239 4.73721
-75.4329 -31.1266 -32.0407 -16.5767 -18.9411 4.87753
-81.1675 -7.0188 -29.8207 -2.49094 -17.1378 4.76721
-92.3601 -9.55305 -18.1734 -0.363728 -15.3038 4.72199
-65.8828 -26.7974 -32.6261 -15.6555 -19.6943 4.77979
-73.9276 -25.669 -26.9243 -11.7263 -15.4102 4.85355
-77.269 -26.6223 -37.0018 -11.9969 -18.8072 4.8154
-70.9715 -15.6898 -30.5915 -7.50842 -19.0376 4.80545
-90.082 -6.75548 -24.4019 -4.46069 -15.3973 4.88752
-66.7233 -27.9396 -29.8038 -17.9857 -20.4958 4.75611
-63.1669 -19.6686 -31.1537 -14.1288 -16.4139 4.73969
-74.573 -30.2112 -26.2621 -11.9098 -18.179 4.78825
-76.6727 -12.238 -29.4109 -4.74539 -16.5075 4.74282
-72.1677 -17.0758 -19.8427 -7.62938 -19.0464 4.81521
-83.7233 -19.0486 -26.1232 -7.73691 -18.2385 4.85418
-79.9753 -31.2031 -28.8029 -16.9894 -16.6918 4.79291
-95.3876 -11.7135 -22.1842 -1.76014 -14.9547 4.83235
-76.8461 -18.6244 -21.7231 -10.1789 -15.9563 4.77661
-75.1344 -30.7882 -29.2287 -12.998 -20.6593 4.84644
-85.8131 -19.4994 -39.3984 -14.1252 -22.4798 4.82252
-83.1844 -10.9308 -27.2031 -0.128927 -18.348 4.78668
-75.9043 -32.9247 -29.2855 -18.8722 -20.1208 4.79704
-106.496 6.10764 -24.5131 10.3237 -16.764 4.79065
-77.3287 -10.9709 -24.841 -6.88007 -17.3859 4.83541
-87.267 -5.4352 -29.2451 -2.01477 -17.104 4.86414
-73.414 -13.9332 -29.5112 -3.37687 -16.6854 4.92021
-68.249 -25.5677 -36.1638 -14.1327 -21.4625 4.83186
-61.7298 -29.8064 -39.2663 -14.9568 -17.6782 4.78124
-69.861 -32.0082 -39.5562 -11.7892 -17.0092 4.81498
-86.0604 0.545846 -29.4725 -7.62222 -18.5846 4.72079
-91.7514 -14.2888 -32.4188 -7.08256 -19.5661 4.80376
-77.8459 -18.8517 -34.0257 -11.8411 -16.3559 4.72391
-78.6491 -7.44563 -32.4393 -3.02976 -19.3424 4.81314
-96.353 -8.35081 -19.4188 -0.515663 -16.2976 4.7998
-95.0783 -13.9799 -29.051 -9.29336 -19.7582 4.77827
-85.5561 -31.6621 -36.5967 -16.4325 -21.8907 4.73764
-95.4476 -4.6745 -20.4581 3.19613 -16.6943 4.69312
-76.5854 -5.67384 -22.6577 -2.58996 -13.8141 4.80533
-72.9151 -24.448 -31.0988 -11.2241 -20.489 4.84705
-72.6061 -9.98915 -20.8685 -7.84574 -19.3984 4.8614
-73.2604 -14.898 -28.2549 -9.96011 -17.5313 4.756
-71.7627 -19.8145 -25.1009 -13.8791 -19.7765 4.84872
-68.5875 -21.372 -32.7965 -9.30654 -16.4018 4.80455
-80.7742 -35.6812 -33.2601 -20.9222 -20.4491 4.77723
-83.4914 -22.8758 -37.1178 -6.05108 -15.7494 4.88797
-83.0544 -11.9257 -27.7696 -4.81208 -18.0291 4.84476
-95.6528 -24.9688 -18.4896 -13.2667 -18.622 4.81931
-81.0704 -6.42002 -24.648 -1.37283 -18.7382 4.8294
-75.845 -16.3202 -25.0551 -11.3284 -17.3412 4.7993
-78.7827 -36.2128 -28.3544 -17.2259 -19.5977 4.85289
-76.3495 -3.53661 -23.584 -5.63927 -13.5289 4.89539
-73.0459 -32.0772 -24.9577 -14.9311 -18.9308 4.78796
-89.9917 -19.6815 -22.0869 -6.8813 -17.5954 4.77373
-82.7952 0.129367 -17.2186 -0.768884 -15.6304 4.85377
-81.0277 -14.4719 -29.9325 -4.88738 -19.9343 4.81954
-91.2927 -20.3491 -22.7975 -3.50352 -20.4069 4.80049
-75.6375 -17.8359 -24.436 -12.6251 -19.6573 4.807
-86.8761 -13.1887 -21.8348 -6.81155 -18.0893 4.8115
-68.5541 -34.9647 -35.5066 -17.3057 -21.0076 4.76077
-74.519 -14.1442 -32.688 -4.43063 -19.5181 4.80691
-85.1716 -2.97414 -31.1088 2.52918 -17.0266 4.85539
-93.5649 -15.0028 -18.2796 -9.88502 -16.4146 4.76857
-70.8593 -11.3978 -25.5139 -14.0821 -17.4916 4.79219
-72.1294 -28.9836 -30.7325 -13.7779 -19.1295 4.76543
-78.5467 -15.3038 -31.3915 -3.8432 -18.6517 4.83288
-69.0695 -21.646 -28.638 -12.2851 -18.621 4.77174
-78.8902 -18.2708 -32.9849 -5.5493 -20.7411 4.78397
-74.8975 -18.6067 -29.3974 -7.91806 -15.8066 4.73715
-75.2854 -24.171 -29.8791 -15.8127 -18.9575 4.84341
-71.9571 -11.0752 -31.2073 -11.5096 -17.5191 4.81143
-80.5294 0.361564 -25.4903 -8.52232 -18.1711 4.78799
-75.0752 -23.6582 -28.8491 -11.4907 -16.6789 4.8449
-84.6494 -14.2054 -25.4735 -7.3275 -18.1824 4.8741
-93.3141 -12.067 -24.9854 -2.05316 -18.3605 4.74535
-94.3144 -19.8422 -21.0766 -5.18597 -14.4391 4.83247
-64.7707 -27.3625 -27.5148 -15.2546 -17.1838 4.9198
-74.8493 -39.8134 -30.3858 -17.6302 -17.5348 4.79769
-75.176 2.22337 -16.9887 -9.95724 -15.8676 4.81062
-77.0615 -19.341 -30.0198 -9.3313 -17.2115 4.79981
-102.198 -16.8275 -26.2237 -8.77866 -17.2683 4.93684
-66.2667 -29.605 -32.5525 -15.9217 -17.7572 4.87147
-72.2574 -15.8971 -34.9854 -11.5069 -18.2663 4.89978
-70.1279 -30.9607 -34.3762 -19.044 -18.03 4.84358
-68.0516 -23.9546 -45.096 -11.997 -18.8429 4.91549
-66.4283 -22.4915 -28.4473 -13.3686 -16.84 4.89612
-57.4731 -25.6513 -31.731 -21.8682 -17.7586 4.84228
-80.6986 -17.0441 -33.3279 -7.30812 -20.3777 4.84673
-86.2385 -10.1139 -30.576 1.91804 -19.3145 4.83167
-88.2555 -16.159 -18.9962 -3.35823 -16.8786 4.79968
-71.8807 -13.3519 -27.3753 -10.2917 -14.7231 4.90611
-65.8493 -18.8766 -35.5626 -15.9993 -16.5585 4.83595
-78.3356 -13.4604 -27.6462 -9.51271 -17.2363 4.84473
-73.2168 -21.3035 -30.0146 -8.1286 -19.8713 4.75671
-88.6565 -2.08621 -24.5023 4.39049 -16.7243 4.76927
-91.6792 -13.2548 -21.6668 -0.105 -18.7687 4.82497
-70.9602 -25.4491 -28.4201 -14.6948 -20.3543 4.78747
-78.5363 -31.3843 -27.2823 -14.2094 -19.2308 4.81907
-86.5297 -7.09271 -21.684 -2.19519 -14.0287 4.74394
-87.7818 -28.286 -24.7336 -13.9994 -14.8202 4.74951
-89.1097 -16.3587 -28.4518 -3.0591 -19.5047 4.7776
-63.2415 -23.569 -37.6731 -10.6514 -18.2828 4.83104
-83.852 -5.47985 -26.1478 -1.57177 -18.2222 4.92861
-76.7606 -14.6188 -26.3485 -7.20051 -18.5824 4.7977
-64.193 -25.7279 -38.9846 -14.0588 -18.2665 4.7982
-75.7323 -12.9484 -34.5 -2.1601 -17.6162 4.81364
-60.4934 -18.1324 -40.3135 -14.1692 -20.8996 4.8109
-96.6512 -1.80291 -28.5505 3.4797 -18.05 4.78444
-83.5453 -26.2249 -25.0449 -11.3523 -16.284 4.91048
-81.9905 -5.09191 -28.1267 -3.44742 -14.892 4.86627
-90.218 -9.84598 -25.4596 4.23627 -18.5186 4.93269
-82.2716 2.89465 -21.0107 -0.647712 -16.3646 4.76534
-81.0558 -21.1852 -24.1777 -6.72732 -17.8001 4.87779
-71.7788 -11.6873 -27.3384 -6.26246 -16.977 4.79201
-81.5175 -21.3761 -24.4294 -14.8551 -19.3336 4.76274
-72.7631 -34.4764 -38.4502 -12.2633 -18.5573 4.80143
