# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-74.4796 -24.859 -26.715 -14.0175 -17.1142 4.85084
-85.4546 -17.5669 -21.5151 -9.32604 -16.4 4.85468
-82.5753 -14.604 -24.956 -11.9726 -17.9074 4.8531
-76.9786 -35.2521 -32.2973 -16.7168 -19.0244 4.80434
-77.9215 -32.6578 -31.1231 -14.094 -18.5884 4.71186
-71.7641 -21.4142 -33.8426 -18.0315 -22.9233 4.76865
-68.2709 -32.5993 -30.9542 -18.5995 -19.2052 4.86392
-90.3531 -10.2964 -22.2648 -5.70224 -17.4372 4.93128
-80.8737 -37.0673 -33.8329 -12.3016 -19.29 4.82766
-90.5356 -21.0031 -23.3764 -8.61368 -18.1648 4.80452
-83.296 -25.9109 -26.8946 -9.22942 -18.487 4.81971
-81.582 -20.5729 -27.7287 -8.50001 -15.0719 4.96588
-89.4235 -15.9291 -24.2151 -2.86822 -19.7609 4.8201
-82.8728 -38.5955 -28.7084 -16.801 -17.6719 4.68999
-69.1126 -33.3104 -38.343 -15.848 -20.4543 4.79623
-87.711 -7.79628 -23.6281 -0.0216177 -16.8037 4.79467
-56.8234 -33.7219 -29.7292 -16.8475 -15.5663 4.82429
-113.286 17.9921 -28.0037 13.8855 -16.9194 4.86146
-79.4193 -17.099 -17.3145 -4.01173 -14.5356 4.80937
-80.1131 -8.1603 -21.2649 -5.98319 -18.7395 4.81386
-66.0935 -19.8337 -25.1366 -10.7897 -14.905 4.89694
-75.6399 -13.3049 -24.5486 -8.11411 -17.8509 4.87282
-75.8805 -18.8253 -23.7179 -13.2543 -16.9594 4.86052
-84.6447 -21.7422 -26.3728 -6.99225 -17.3094 4.86878
-95.4156 -9.35696 -18.5518 -1.62261 -16.9848 4.84134
-99.2952 -2.67201 -24.0044 8.45431 -18.5858 4.78769
-82.0736 -13.7538 -24.3347 -6.76054 -16.7726 4.88911
-79.202 -8.22814 -27.3758 -7.12393 -17.831 4.85881
-81.872 -24.8699 -28.5649 -9.41444 -19.6376 4.82024
-73.7059 -23.8195 -33.2283 -11.0887 -18.5339 4.68083
-82.5949 -20.5262 -23.8274 -4.07237 -15.4728 4.81121
-84.4526 -17.2114 -24.33 -7.41034 -14.8743 4.78382
-75.1386 -15.8419 -24.7615 -8.03018 -17.1288 4.90101
-93.3066 -14.7261 -17.7301 -2.77596 -16.2793 4.73394
-63.5723 -31.4752 -38.429 -19.6285 -18.3693 4.77405
-77.5574 -24.3148 -30.4022 -10.2349 -17.0851 4.79762
-95.1082 -13.6176 -22.1658 -1.71071 -15.97 4.83886
-69.3001 -31.9545 -37.4441 -15.2738 -20.6975 4.86918
-65.3915 -29.0656 -29.7117 -15.329 -17.8871 4.80914
-63.9188 -34.6796 -34.4532 -14.9168 -18.588 4.80267
-76.7989 -17.2238 -22.9831 -5.82146 -18.5688 4.84322
-86.738 -18.8009 -25.9837 -5.99276 -16.5409 4.83367
-81.2617 -28.3794 -25.7863 -7.52726 -17.641 4.81045
-83.7066 -28.8859 -30.7944 -13.6013 -16.7988 4.83897
-84.8929 -12.4906 -24.5713 -4.70302 -16.9863 4.88232
-84.8698 -13.5507 -24.7392 -3.5847 -16.8031 4.79937
-88.676 -36.3471 -25.2485 -8.98971 -16.6707 4.93252
-74.6815 -6.96113 -25.2009 -0.479849 -15.6955 4.88734
-81.2296 -4.54015 -28.8639 -3.71113 -16.2725 4.81728
-82.9707 -12.6407 -27.6876 -1.6261 -18.3754 4.859
-87.2387 -18.3282 -20.6772 -8.63547 -18.105 4.80849
-94.1661 -19.1564 -22.767 -2.60154 -21.6092 4.80894
-77.3806 -30.6961 -28.0228 -13.9315 -18.2561 4.92154
-79.6699 -18.5135 -31.4987 -6.31985 -16.2687 4.88307
-83.3944 -26.2237 -18.4732 -9.00208 -15.4136 4.88405
-69.1917 -38.9273 -35.8224 -18.3898 -20.0048 4.80415
-79.7489 -30.4703 -27.0079 -10.1386 -16.8783 4.78649
-58.9221 -37.8803 -44.4359 -23.9141 -20.3721 4.83615
-65.0822 -19.1757 -30.0158 -7.33922 -16.165 4.79338
-80.3543 -29.5035 -30.2708 -11.6918 -18.695 4.79891
-80.8831 -20.6579 -31.8379 -0.412515 -17.5928 4.77087
-99.118 -0.732952 -20.6323 -1.01554 -20.8497 4.8534
-77.6232 -23.6505 -24.311 -5.12413 -13.3716 4.95456
-83.0313 -8.85177 -28.0431 -4.0188 -17.2912 4.86455
-70.6709 -36.6384 -37.1638 -20.4551 -21.9206 4.87741
-97.9112 -1.98957 -21.6618 5.95052 -17.4144 4.74346
-81.6823 -25.0413 -27.2929 -14.2516 -17.6632 4.84262
-82.1719 1.13738 -24.3319 -5.46961 -17.9305 4.84639
-75.7479 -21.6586 -30.7876 -10.931 -17.155 4.81708
-66.9016 -26.8149 -36.7821 -13.9168 -20.2593 4.82908
-69.0784 -32.9879 -27.8361 -16.2136 -17.8937 4.84036
-84.0799 -15.1409 -18.1894 -1.82916 -14.252 4.8211
-79.3645 -35.9204 -34.6028 -17.5042 -18.7812 4.85025
-69.2344 -19.7672 -34.7795 -11.3356 -17.9779 4.86495
-84.7173 -16.4071 -23.1802 -5.33696 -15.8212 4.88972
-65.2877 -15.1159 -31.61 -8.51909 -17.4461 4.8637
-75.2053 -18.6923 -28.6754 -9.14845 -19.0238 4.79646
-58.5494 -41.0188 -35.9365 -20.8101 -18.6909 4.81222
-63.7769 -27.7925 -43.2337 -13.504 -19.7887 4.79084
-68.0972 -25.5952 -30.3571 -12.3231 -15.6566 4.88385
-89.686 -10.0485 -17.3989 -7.58342 -15.9775 4.83385
-76.8174 -11.8073 -27.9786 -7.11386 -15.1529 4.93875
-80.076 -18.9612 -20.8174 -10.9737 -15.33 4.83383
-70.6987 -19.6514 -27.9219 -9.88424 -14.4615 4.87287
-78.3713 -20.6421 -24.8572 -8.84295 -18.9163 4.84547
-82.8821 -15.2707 -20.5851 -8.27071 -16.1398 4.78653
-75.3329 -4.91274 -24.8024 -2.88838 -15.9428 4.80009
-85.2098 -12.9237 -21.7614 -3.07397 -15.8139 4.81086
-70.3429 -15.1314 -23.4617 -9.60475 -14.8891 4.85983
-81.4412 -33.9915 -25.8432 -16.3235 -15.9975 4.81575
-83.6396 -22.7632 -26.584 -5.4488 -19.1597 4.89061
-78.0258 -22.349 -35.5006 -16.0381 -21.2559 4.82581
-71.2459 -30.1552 -22.4184 -14.0394 -13.6751 4.89494
-82.2704 -25.4889 -20.897 -10.9449 -14.9505 4.79389
-86.3398 -23.7275 -26.23 -7.1144 -14.8799 4.80648
-92.5501 -3.01815 -19.7235 -2.2535 -17.7119 4.77043
-83.906 -25.5526 -26.4845 -9.41444 -13.8353 4.83209
-76.6655 -6.78527 -20.1694 -3.0674 -14.6705 4.78478
-81.3253 -3.80223 -24.1728 -4.64266 -17.6807 4.73794
-79.7906 -6.07011 -19.2296 -0.281662 -15.6325 4.88978
-83.9362 -12.9047 -26.0037 -8.3227 -17.3205 4.78484
-81.9624 -12.2021 -25.7181 -9.30309 -18.1588 4.83494
-66.833 -26.1572 -30.214 -12.0256 -18.4095 4.91232
-72.44 -35.5949 -33.0855 -16.5949 -18.75 4.79275
-69.153 -25.7677 -35.8018 -15.6063 -20.5663 4.82072
-66.8789 -33.0918 -38.3317 -13.934 -18.9777 4.90134
-84.7471 -4.97385 -23.5931 3.95261 -14.6308 4.84422
-70.2078 -29.0009 -29.768 -18.1138 -17.4926 4.79616
-67.4013 -20.0926 -29.8123 -9.93435 -19.9164 4.77971
-70.3508 -33.1626 -35.2937 -17.5682 -19.1247 4.7706
-84.0192 -23.3362 -32.0349 -12.9612 -19.372 4.86445
