# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-84.5241 -30.9814 -28.5933 -18.3125 -17.2969 4.90393
-78.5437 -10.7106 -23.9033 -5.91507 -14.7271 4.90218
-74.0143 -14.8885 -33.0075 -16.1865 -19.1419 4.74481
-81.8946 -15.6769 -26.2546 -6.11987 -18.4422 4.89643
-76.8043 -11.4992 -35.2518 -1.28165 -21.3642 4.76895
-83.1801 -7.14984 -32.5736 -7.68179 -20.9014 4.76609
-74.3785 -16.6221 -30.7302 -7.64248 -17.2221 4.88767
-69.4868 -31.4068 -38.3226 -13.7481 -18.883 4.79553
-54.7312 -30.8607 -41.0233 -13.4158 -22.4212 4.76372
-79.8859 -21.1936 -32.1098 -9.36198 -17.3092 4.792
-74.4929 -17.5901 -35.1418 -3.09378 -16.079 4.70702
-62.7774 -18.4103 -31.4199 -9.73144 -16.3579 4.79861
-79.5923 -3.08639 -35.3865 -8.36978 -17.5384 4.89501
-75.8299 -11.458 -22.5845 -7.70375 -15.4252 4.84458
-65.2416 -32.0749 -28.1669 -15.5037 -17.6496 4.83953
-59.5254 -30.4941 -38.2551 -23.2738 -20.3459 4.8552
-92.5149 1.18399 -22.6648 0.839326 -17.8744 4.81003
-82.3724 -11.4365 -27.0525 -3.2769 -15.8901 4.87435
-96.5347 8.33805 -19.3544 11.4726 -18.8047 4.79834
-77.6302 -25.7175 -23.5923 -8.48522 -20.8206 4.85456
-75.4374 -9.72484 -27.0241 -11.7032 -14.446 4.76483
-50.6939 -17.8239 -42.5746 -12.8977 -15.6408 4.73679
-82.4497 -14.4102 -23.6797 -4.93192 -16.3584 4.81198
-95.2364 15.1065 -23.5194 9.31387 -17.1276 4.79591
-70.2065 -25.0361 -34.5899 -10.6997 -15.7306 4.88338
-87.1908 -5.39086 -28.892 -0.635068 -16.6163 4.86081
-70.9416 -10.2257 -35.3076 -11.5245 -19.2285 4.80583
-74.1591 -13.1002 -28.5936 -9.21518 -18.5238 4.8738
-71.6066 20.2597 -17.5597 -8.8597 -18.157 4.71711
-72.2105 -14.9127 -37.5053 -11.9101 -15.4219 4.81699
-69.5242 -26.4667 -30.2595 -18.3404 -18.9308 4.82851
-77.6662 -25.0254 -23.6764 -13.4678 -15.9909 4.80567
-90.4156 -21.1799 -26.0157 -8.6824 -20.2301 4.83936
-77.4547 -15.767 -35.7653 -4.3678 -17.3776 4.81764
-56.7384 -30.8731 -37.3308 -14.1893 -16.7892 4.78645
-88.9528 -4.61916 -22.4525 0.734559 -16.9683 4.8073
-63.2899 -19.1168 -37.6136 -13.504 -17.2924 4.81397
-78.0052 -19.6995 -31.4515 -11.9652 -21.1653 4.74816
-83.6763 16.1409 -21.3965 2.13534 -17.4199 4.77547
