# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-63.5295 24.0182 174.752 10.3876 159.062 7.21129
-93.4149 26.3699 164.6 9.22556 158.398 7.16876
-114.299 24.8 158.139 13.116 167.446 7.22307
-82.39 18.3328 154.934 9.93074 157.648 7.26258
-75.3396 17.7418 167.091 6.06863 157.27 7.20027
-104.984 22.6224 146.486 15.0285 160.356 7.2244
-77.0588 16.2554 150.757 3.20429 150.486 7.22258
-95.5517 11.0072 142.07 4.88221 152.702 6.96072
-85.7095 33.126 -126.136 18.2088 -145.788 7.19118
-162.907 -7.09049 -165.251 9.97821 -149.206 7.18315
-152.437 6.28969 -151.296 7.9793 -148.25 7.0559
-158.703 2.28927 -176.366 17.072 -157.402 7.12639
-112.067 16.6662 -135.641 6.42908 -143.86 7.21383
-133.345 12.1733 -168.677 6.41126 -151.922 7.17785
-146.922 6.12708 179.264 7.27568 -153.012 7.25952
-124.458 12.7158 -162.506 9.64904 -154.098 7.22819
-122.808 12.2432 -168.46 9.64118 -162.065 7.199
-124.498 17.1776 -163.855 10.6527 -154.329 7.35322
-152.12 7.74988 -177.95 17.56 -150.829 7.17858
-95.516 17.5704 -159.035 6.66611 -159.471 7.14941
-109.96 30.195 -141.826 14.7732 -146.134 7.15375
-145.064 11.7627 -177.874 12.8578 -161.46 7.21617
-99.6036 34.5557 -140.849 17.3639 -148.378 7.13703
-110.143 28.6156 -142.202 14.0352 -149.492 7.12848
-94.6228 20.511 -134.976 9.40149 -144.286 7.05991
-97.0477 19.2561 -148.76 12.2513 -150.404 7.09536
-119.493 17.8417 177.1 9.20559 -175.941 7.28827
-126.864 10.5055 -177.921 10.4159 -155.607 7.16218
-105.288 16.8003 -147.594 10.2693 -148.038 7.15524
-88.7777 18.205 -151.857 9.42734 -158.067 7.11312
-108.861 27.6742 -150.203 9.97246 -154.711 7.31106
-106.139 18.9825 142.083 12.0967 151.209 6.95837
-116.453 3.1778 128.878 2.01884 148.333 6.92811
-117.735 21.2935 -152.776 16.2834 -148.51 7.13492
-97.8431 19.4624 -139.52 7.93519 -152.478 7.18591
-99.2816 15.365 -158.694 6.42073 -159.716 7.09586
-152.383 11.0339 -154.02 18.2699 -141.212 6.97104
-154.888 -14.1819 -161.664 0.30708 -147.364 7.06899
-148.088 14.4316 -170.621 18.5563 -152.659 7.19869
-113.269 31.051 -140.328 13.6412 -146.898 7.05949
-139.358 8.00994 -160.18 9.12253 -150.951 7.13082
-155.568 -7.66282 176.702 5.99613 -156.579 7.22285
-105.6 25.4774 -158.686 14.8187 -160.142 7.09194
-136.539 -0.272708 -170.082 4.96209 -153.525 7.23734
-123.493 21.072 -157.826 11.885 -155.164 7.13825
-135.741 0.13614 -177.472 5.42271 -158.753 7.27355
-112.405 19.8147 -166.615 13.7455 -167.407 7.08247
-106.621 24.8804 -150.451 3.64734 -160.439 7.04604
-112.114 16.0624 -145.255 9.10083 -147.137 7.00239
-160.618 5.25781 -177.35 14.789 -153.649 7.13931
-89.6263 23.51 -144.899 8.99034 -156.918 7.26528
-134.079 23.75 -156.763 17.8015 -145.119 7.21062
-111.995 15.2342 -164.39 9.22514 -154.793 7.0325
-121.864 21.2727 -144.025 7.00118 -150.299 7.07688
-158.337 -11.626 -168.4 7.7255 -146.931 6.99378
-90.3363 32.9109 -117.265 10.7589 -140.95 7.2164
-146.529 -3.45484 171.469 2.53947 -176.293 7.26741
-104.145 16.6938 138.052 7.44215 145.335 7.14567
-115.728 21.5886 -163.326 9.75981 -161.134 7.1375
-95.9709 13.8469 -155.36 2.22386 -155.261 7.2151
-125.017 22.0267 -156.076 11.0125 -151.102 7.18608
-117.97 18.3597 -146.128 9.87767 -146.534 7.04051
-139.391 9.18456 -179.115 16.516 -153.382 7.18103
-125.548 7.12223 -154.177 10.3606 -151.039 6.84456
-93.7892 25.1863 -145.052 12.832 -157.307 7.30668
